,player_id,last_season,current_club_id,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,agent_name,domestic_competition_id,goals,assists,minutes_played,yellow_cards,red_cards,total_appearance,market_value_usd
13308,13308,2021.0,2503.0,Venezuela,Venezuela,2002-06-18,Attack,Centre-Forward,Right,190.0,IST,PO1,2,0,244.0,8,0,21,553500.0
7730,7730,2021.0,449.0,Turkey,Turkey,1999-06-25,Attack,Attacking Midfield,Left,168.0,Ergezen Menajerlik & Danışmanl,TR1,20,25,9286.0,6,0,136,11623500.0
8110,8110,2021.0,749.0,Italy,Italy,1996-10-07,Goalkeeper,,Right,194.0,GG11 s.r.l.,IT1,0,1,4140.0,1,0,46,5535000.0
5209,5209,2021.0,79.0,Germany,Germany,1995-02-04,Attack,Attacking Midfield,Left,188.0,ROOF,L1,5,2,2652.0,8,0,48,2767500.0
13193,13193,2020.0,868.0,Turkey,Turkey,2001-02-19,Goalkeeper,,Right,189.0,,TR1,0,0,90.0,0,0,1,83640.0
13371,13371,2021.0,5817.0,United States,United States,2001-09-22,Attack,Attacking Midfield,Right,176.0,,DK1,0,0,128.0,0,0,5,387450.0
5582,5582,2021.0,5724.0,Sweden,Sweden,1992-01-08,Goalkeeper,,Right,189.0,HCM Sports Management,DK1,0,0,9929.0,4,1,111,1107000.0
9669,9669,2016.0,294.0,Brazil,Brazil,1995-01-02,Defender,Left-Back,Left,177.0,,PO1,1,1,2167.0,5,0,28,442800.0
125,125,2019.0,2722.0,Brazil,Brazil,1984-07-31,Defender,Centre-Back,Left,,,IT1,7,3,,51,2,153,83640.0
5951,5951,2018.0,660.0,Ukraine,Ukraine,1994-03-13,Attack,Left Winger,Right,171.0,ProStar,UKR1,12,11,,13,0,94,2214000.0
1333,1333,2020.0,4171.0,Italy,Italy,1987-05-30,Midfield,Defensive Midfield,Right,177.0,PLAYER MANAGEMENT SRL,IT1,2,9,6358.0,37,2,92,885600.0
3791,3791,2021.0,2441.0,Bosnia-Herzegovina,Austria,1992-11-04,Goalkeeper,,Right,186.0,HAGMAYR Sportmanagement,GR1,0,0,1290.0,0,0,14,2214000.0
259,259,2019.0,605.0,Sweden,Sweden,1987-01-25,Attack,Centre-Forward,Right,175.0,HCM Sports Management,GR1,16,15,10424.0,17,0,152,194340.0
10400,10400,2021.0,235.0,Netherlands,Netherlands,1995-07-26,Goalkeeper,,,189.0,Soccer Vision ,NL1,0,2,4992.0,5,0,56,608850.0
6865,6865,2021.0,1038.0,Italy,Italy,1995-04-12,Goalkeeper,,Right,195.0,LIAN Sports Group,IT1,0,0,1305.0,3,0,15,3321000.0
7360,7360,2021.0,336.0,Portugal,Portugal,1995-07-09,Midfield,Defensive Midfield,Right,190.0,,PO1,11,3,14830.0,54,1,202,27675000.0
13310,13310,2021.0,173.0,Denmark,Denmark,2003-11-17,Attack,Left Winger,Right,178.0,People In Sport,DK1,1,0,393.0,0,0,17,553500.0
8223,8223,2021.0,3329.0,France,France,1996-02-15,Defender,Centre-Back,Right,188.0,,PO1,5,2,7108.0,15,1,89,774900.0
11280,11280,2021.0,347.0,Cameroon,Cameroon,1996-09-17,Attack,Left Winger,Right,192.0,,FR1,21,6,5630.0,26,0,78,3874500.0
4087,4087,2021.0,2282.0,Belgium,Belgium,1992-08-24,Attack,Attacking Midfield,Right,195.0,SportPlus Football Management,BE1,82,59,24679.0,30,2,295,17712000.0
13507,13507,2021.0,385.0,Netherlands,Netherlands,2002-10-01,Defender,Centre-Back,Right,181.0,Creating Winners,NL1,0,0,9.0,0,0,1,28290.0
10533,10533,2021.0,7775.0,Turkey,Turkey,2000-02-20,Goalkeeper,,Right,189.0,Golden Goal Sports Management,TR1,0,0,360.0,0,0,4,110700.0
12360,12360,2019.0,19.0,Italy,Italy,2001-02-03,Attack,Right Winger,Right,178.0,Gr Sports,IT1,0,0,32.0,0,0,5,194340.0
13349,13349,2021.0,190.0,Nigeria,Nigeria,2002-06-07,Attack,Right Winger,Left,163.0,CIA,DK1,1,1,457.0,1,0,8,3874500.0
4748,4748,2019.0,1268.0,Cote d'Ivoire,Cote d'Ivoire,1993-07-06,Defender,Centre-Back,Left,190.0,J. de Jong,NL1,3,5,9743.0,18,2,119,664200.0
604,604,2021.0,124.0,Croatia,Croatia,1992-11-10,Defender,Left-Back,Left,186.0,ARGENTUM SPORT,SC1,7,34,12197.0,23,0,144,6642000.0
8782,8782,2021.0,1304.0,United States,United States,1998-05-23,Midfield,Central Midfield,Right,177.0,Field Management,NL1,3,7,5465.0,4,0,69,940950.0
9040,9040,2021.0,1049.0,Spain,Spain,1998-12-16,Attack,Left Winger,Left,175.0,AC Talent,ES1,1,1,797.0,1,0,20,774900.0
8652,8652,2021.0,607.0,Netherlands,Nigeria,1995-12-16,Defender,Right-Back,Right,187.0,Prime11,IT1,2,4,10953.0,11,1,136,1549800.0
6109,6109,2021.0,1050.0,Spain,Spain,1992-07-05,Defender,Left-Back,Left,171.0,,ES1,9,15,13616.0,30,0,195,5535000.0
9624,9624,2021.0,903.0,Scotland,Scotland,1999-07-02,Attack,Centre-Forward,Right,,77 Sports Management,SC1,1,1,,1,0,27,305040.0
4233,4233,2021.0,1245.0,Belgium,Belgium,1990-10-16,Midfield,Defensive Midfield,Right,189.0,Quadrans,BE1,9,5,11842.0,28,0,164,553500.0
6652,6652,2018.0,1162.0,Senegal,Senegal,1993-12-01,Defender,Left-Back,Left,182.0,,FR1,0,0,2334.0,5,1,30,664200.0
9073,9073,2021.0,417.0,Netherlands,Netherlands,1999-05-05,Attack,Left Winger,Both,172.0,One,FR1,30,25,10468.0,27,1,178,16605000.0
8225,8225,2021.0,29.0,Colombia,Colombia,1994-09-23,Defender,Centre-Back,Right,195.0,Wasserman,GB1,5,2,6648.0,13,0,89,22140000.0
3954,3954,2016.0,11282.0,Turkey,Turkey,1992-10-18,Midfield,Central Midfield,Right,171.0,,TR1,0,0,39.0,0,0,2,55350.0
7129,7129,2021.0,18303.0,Ukraine,Ukraine,1996-03-06,Attack,Left Winger,,174.0,,UKR1,15,9,8165.0,15,0,120,774900.0
6392,6392,2020.0,833.0,Poland,Poland,1994-04-22,Midfield,Central Midfield,Right,173.0,BMG-SPORT,TR1,4,1,2811.0,8,0,32,940950.0
4117,4117,2015.0,367.0,China,China,1989-02-09,Attack,Right Winger,Right,185.0,,ES1,0,0,222.0,0,0,4,166050.0
326,326,2019.0,234.0,Netherlands,Netherlands,1986-01-10,Goalkeeper,,Right,182.0,Winny Haatrecht,NL1,0,0,12371.0,3,0,138,276750.0
9307,9307,2015.0,449.0,Turkey,Turkey,1997-01-01,Attack,Centre-Forward,Right,189.0,B&B Sports Management,TR1,1,0,197.0,2,0,7,83640.0
10839,10839,2018.0,9007.0,France,Gabon,1996-05-04,Attack,Centre-Forward,Right,182.0,ARSM,UKR1,0,1,152.0,0,0,2,138990.0
3234,3234,2021.0,6890.0,Norway,Norway,1992-09-10,Attack,Centre-Forward,Right,175.0,Jim Solbakken,TR1,15,3,3772.0,8,0,94,2435400.0
11409,11409,2021.0,1435.0,Greece,Greece,2002-08-17,Defender,Left-Back,Left,172.0,SEG,NL1,0,0,2.0,0,0,1,83640.0
4260,4260,2016.0,3691.0,Russia,Russia,1992-07-12,Defender,Right-Back,Both,175.0,Polina Lelchuk,RU1,0,0,333.0,2,0,5,249690.0
4610,4610,2020.0,1268.0,Netherlands,Netherlands,1995-01-04,Attack,Left Winger,Left,,Mino Raiola,NL1,8,15,4749.0,4,0,88,387450.0
7572,7572,2015.0,2439.0,Russia,Russia,1996-01-28,Attack,Left Winger,Both,181.0,Pavel Andreev,RU1,0,0,23.0,0,0,1,332100.0
3892,3892,2021.0,5.0,Italy,Italy,1991-03-11,Defender,Right-Back,Right,173.0,Alessandro Lucci - WSA,IT1,22,20,19183.0,35,1,274,6088500.0
5959,5959,2021.0,720.0,Zaire,DR Congo,1994-08-08,Defender,Centre-Back,Right,182.0,,PO1,8,1,16264.0,28,1,191,18819000.0
9215,9215,2014.0,5572.0,Albania,Albania,1995-08-11,Midfield,Defensive Midfield,Right,184.0,,GR1,0,0,,1,0,6,166050.0
8831,8831,2021.0,430.0,Uruguay,Uruguay,1996-02-11,Midfield,Defensive Midfield,Right,166.0,Oscar Bentancourt,IT1,14,9,14864.0,42,1,221,22140000.0
10858,10858,2021.0,202.0,Netherlands,Netherlands,1998-08-04,Goalkeeper,,Right,190.0,,NL1,0,0,300.0,0,0,3,387450.0
7197,7197,2015.0,405.0,Australia,Australia,1996-01-30,Midfield,Central Midfield,Right,183.0,,GB1,0,0,152.0,0,0,4,442800.0
11811,11811,2021.0,206.0,,Denmark,2000-02-02,Defender,Left-Back,Left,180.0,People In Sport,DK1,1,2,1123.0,2,0,19,996300.0
7417,7417,2018.0,4603.0,Egypt,Egypt,1992-01-01,Attack,Centre-Forward,Right,180.0,Eleven 11,GR1,0,0,237.0,2,0,5,442800.0
10945,10945,2021.0,11688.0,Turkey,Turkey,1996-08-18,Midfield,Defensive Midfield,Right,174.0,Edo Boy Management,TR1,0,1,41.0,1,0,5,442800.0
3968,3968,2019.0,605.0,Greece,Greece,1988-11-18,Attack,Centre-Forward,Right,179.0,Zafi Agent,GR1,3,0,255.0,2,0,6,221400.0
663,663,2014.0,2439.0,Brazil,Brazil,1986-11-11,Attack,Centre-Forward,Right,186.0,SIMF,RU1,2,3,1061.0,0,1,16,276750.0
5720,5720,2021.0,8024.0,Croatia,Croatia,1992-07-06,Defender,Centre-Back,Right,184.0,Jurkicsport,PO1,0,1,1449.0,7,0,18,940950.0
7295,7295,2018.0,1533.0,Spain,Spain,1993-04-25,Defender,Centre-Back,Right,185.0,MESAS SPORT,ES1,0,0,744.0,1,0,9,332100.0
6112,6112,2021.0,29.0,England,England,1996-04-11,Attack,Attacking Midfield,Right,188.0,CAA Base Ltd,GB1,64,51,18427.0,38,1,256,24354000.0
759,759,2019.0,27.0,Spain,Spain,1988-09-02,Midfield,Defensive Midfield,Right,189.0,Bahía Internacional,L1,10,7,,23,0,191,4428000.0
5315,5315,2016.0,417.0,France,France,1995-03-20,Attack,Centre-Forward,Right,186.0,JL Sport Consulting,FR1,0,0,,0,0,7,221400.0
8174,8174,2021.0,3725.0,Russia,Russia,1996-07-08,Midfield,Central Midfield,Right,185.0,,RU1,5,7,8428.0,22,0,116,1328400.0
699,699,2016.0,1049.0,Brazil,Brazil,1985-06-24,Goalkeeper,,Left,187.0,Dut's Mkt,ES1,0,0,7452.0,9,0,83,885600.0
3540,3540,2021.0,141.0,Norway,Norway,1991-12-05,Defender,Right-Back,Right,179.0,Tempo Sports Group,TR1,11,15,16216.0,28,0,190,1439100.0
2483,2483,2021.0,367.0,Spain,Albania,1992-01-01,Defender,Right-Back,Right,172.0,Fabián Bustos,ES1,1,10,10923.0,30,1,127,2214000.0
8161,8161,2019.0,1038.0,Italy,Italy,1996-03-06,Attack,Centre-Forward,Right,182.0,Vigo Global Sport Services Srl,IT1,3,3,,1,0,45,2435400.0
10784,10784,2021.0,1304.0,Yugoslavia (Republic),Hungary,1998-07-01,Attack,Centre-Forward,Right,186.0,TheIntPredMan,NL1,3,1,1065.0,1,1,42,305040.0
9384,9384,2021.0,18.0,Senegal,France,1998-05-21,Defender,Centre-Back,Left,183.0,Sport Avenir Management International,L1,0,0,2.0,0,0,2,110700.0
1436,1436,2017.0,441.0,Argentina,Argentina,1986-03-05,Attack,Centre-Forward,Right,182.0,B2B Group,GR1,1,0,1259.0,1,0,19,138990.0
12204,12204,2021.0,3999.0,Greece,Greece,1998-04-10,Attack,Left Winger,Both,180.0,TOP Agency,GR1,0,0,530.0,0,0,15,332100.0
8522,8522,2021.0,1177.0,Denmark,Denmark,1995-05-18,Defender,Centre-Back,Both,190.0,Nordic Sky,DK1,2,0,4886.0,4,0,59,774900.0
12701,12701,2021.0,162.0,France,France,1999-01-10,Midfield,Central Midfield,Right,176.0,,FR1,4,10,8521.0,18,1,117,19926000.0
9422,9422,2019.0,1160.0,France,France,1995-12-18,Midfield,Central Midfield,Left,179.0,LIAN Sports Group,FR1,1,2,3406.0,3,1,53,2214000.0
10299,10299,2018.0,43.0,Canada,Canada,1997-06-28,Defender,Right-Back,Right,178.0,,SC1,1,2,1547.0,3,0,19,194340.0
8144,8144,2018.0,989.0,England,England,1997-02-12,Attack,Right Winger,Left,175.0,Omni-Sports,GB1,0,0,,0,0,1,774900.0
8716,8716,2016.0,11.0,England,England,1998-01-31,Attack,Left Winger,Right,178.0,,GB1,0,0,25.0,0,0,2,2214000.0
1521,1521,2021.0,985.0,Spain,Spain,1990-11-07,Goalkeeper,,Right,189.0,,GB1,0,1,30479.0,5,0,339,16605000.0
9141,9141,2020.0,2425.0,Brazil,Brazil,1995-04-22,Attack,Centre-Forward,Right,195.0,,PO1,12,2,2066.0,10,0,65,166050.0
5985,5985,2021.0,162.0,France,France,1993-04-26,Defender,Right-Back,Right,172.0,BM FOOT,FR1,2,14,10900.0,23,2,148,11070000.0
8894,8894,2015.0,16247.0,Ukraine,Ukraine,1994-02-26,Attack,Centre-Forward,Right,177.0,,UKR1,1,0,91.0,0,0,2,138990.0
3260,3260,2021.0,44.0,Algeria,Algeria,1992-01-12,Attack,Centre-Forward,Right,192.0,,L1,45,21,10828.0,19,1,173,2435400.0
1120,1120,2017.0,11127.0,UdSSR,Russia,1989-07-04,Attack,Right Winger,Right,180.0,Polina Lelchuk,RU1,1,2,1864.0,5,0,55,387450.0
295,295,2018.0,19771.0,Jugoslawien (SFR),Bosnia-Herzegovina,1986-03-06,Defender,Right-Back,Right,182.0,SF Player Consulting,TR1,0,9,8059.0,16,0,100,83640.0
9658,9658,2017.0,979.0,Brazil,Brazil,1994-03-18,Midfield,Central Midfield,Right,190.0,SoccerSoul,PO1,1,0,,8,0,50,415740.0
5229,5229,2021.0,15.0,Iran,Iran,1995-01-01,Attack,Centre-Forward,Both,186.0,Epic Sports,L1,99,39,15726.0,43,2,251,27675000.0
8063,8063,2018.0,475.0,France,Slovenia,1997-02-13,Defender,Left-Back,Left,182.0,,BE1,0,0,740.0,3,0,9,221400.0
4198,4198,2019.0,398.0,Belgium,Belgium,1994-07-25,Defender,Left-Back,Left,,,IT1,3,20,9861.0,20,0,158,1107000.0
3247,3247,2019.0,405.0,England,England,1992-09-23,Goalkeeper,,Left,183.0,ICM Stellar Sports,GB1,0,0,1088.0,0,0,13,885600.0
8215,8215,2021.0,6676.0,Spain,Spain,1995-06-13,Attack,Attacking Midfield,Left,167.0,IFM,GR1,2,4,,6,0,46,387450.0
8067,8067,2019.0,1301.0,Argentina,Argentina,1992-07-19,Attack,Centre-Forward,Right,192.0,,PO1,0,0,503.0,1,0,10,360390.0
7887,7887,2020.0,2969.0,Ecuador,Ecuador,1996-05-09,Defender,Left-Back,Left,175.0,MMK SOCCER,FR1,0,0,,0,0,13,1107000.0
4670,4670,2017.0,1390.0,Italy,Italy,1986-06-13,Defender,Right-Back,Right,176.0,PLAYER MANAGEMENT SRL,IT1,0,2,2078.0,6,0,26,55350.0
10159,10159,2020.0,4294.0,Argentina,Argentina,1997-04-16,Attack,Left Winger,Left,180.0,La Squadra Sports - R. Bittar,PO1,1,4,3245.0,14,0,58,774900.0
11610,11610,2021.0,1465.0,Venezuela,Venezuela,1998-11-19,Defender,Centre-Back,Right,189.0,,PO1,3,0,3918.0,13,1,48,1660500.0
1106,1106,2016.0,3729.0,UdSSR,Russia,1985-08-24,Attack,Attacking Midfield,Right,178.0,,RU1,0,0,202.0,1,0,5,83640.0
11823,11823,2017.0,472.0,Spain,Spain,1996-06-23,Attack,Centre-Forward,Left,190.0,Promoesport,ES1,1,0,584.0,0,0,11,2214000.0
12421,12421,2021.0,202.0,Norway,Tunisia,2002-07-13,Attack,Left Winger,Right,183.0,First Access Sports,NL1,0,0,222.0,1,0,4,221400.0
6831,6831,2018.0,449.0,Turkey,Turkey,1994-05-25,Midfield,Defensive Midfield,Right,190.0,B&B Sports Management,TR1,0,0,,1,0,14,110700.0
6136,6136,2015.0,720.0,Chile,Chile,1994-03-07,Defender,Centre-Back,Right,188.0,AIM fútbol,PO1,0,0,270.0,0,0,3,3321000.0
9988,9988,2019.0,2477.0,Somalia,Finland,1999-01-01,Midfield,Central Midfield,Right,186.0,,UKR1,0,0,45.0,1,0,1,83640.0
11948,11948,2021.0,2687.0,Spain,Spain,2000-03-05,Defender,Centre-Back,Both,182.0,,ES1,0,0,2219.0,3,0,29,2767500.0
4866,4866,2018.0,8970.0,Italy,Italy,1993-06-08,Attack,Right Winger,Right,177.0,Promoesport,IT1,4,3,3041.0,8,0,42,553500.0
12821,12821,2020.0,4603.0,Greece,Greece,2001-09-01,Attack,Centre-Forward,Both,178.0,SpoCoNet,GR1,7,0,,2,0,29,1107000.0
9774,9774,2021.0,26459.0,Ukraine,Ukraine,1994-01-23,Midfield,Defensive Midfield,Right,183.0,Special1Agency,UKR1,1,1,3401.0,13,0,45,332100.0
10897,10897,2021.0,385.0,Netherlands,Netherlands,1998-08-01,Attack,Attacking Midfield,Right,185.0,Wasserman,NL1,33,12,7377.0,12,0,96,2214000.0
9453,9453,2017.0,683.0,Greece,Greece,1998-09-20,Midfield,Defensive Midfield,Right,177.0,,GR1,0,0,75.0,0,0,1,166050.0
1587,1587,2021.0,1082.0,France,France,1989-02-23,Defender,Right-Back,Right,173.0,,FR1,2,16,7456.0,21,0,105,885600.0
742,742,2021.0,40.0,France,France,1988-05-18,Defender,Centre-Back,Right,185.0,Gallea Gestion S.A,FR1,6,4,11840.0,15,3,145,885600.0
10736,10736,2021.0,2457.0,South Africa,South Africa,1999-03-03,Midfield,Central Midfield,Right,186.0,Blueprivate Investimentos Lda,PO1,0,0,3318.0,16,1,51,332100.0
7709,7709,2018.0,1467.0,Turkey,Turkey,1996-06-08,Attack,Attacking Midfield,Right,177.0,Yiğit Oruç,TR1,0,0,503.0,2,0,13,110700.0
2780,2780,2014.0,371.0,Czech Republic,Czech Republic,1993-02-10,Defender,Centre-Back,Left,186.0,Reza Sport Consulting,SC1,0,0,,0,0,1,442800.0
8639,8639,2016.0,987.0,England,Scotland,1997-02-07,Defender,Centre-Back,,190.0,Unique Sports Group,SC1,1,0,663.0,0,0,10,110700.0
5191,5191,2016.0,1162.0,France,Comoros,1991-12-04,Defender,Left-Back,Right,172.0,Global Football Agency,FR1,0,0,1885.0,5,1,25,442800.0
9545,9545,2021.0,631.0,France,France,1999-01-23,Defender,Centre-Back,Left,182.0,P&P Sport Management S.A.M.,GB1,4,3,11025.0,14,0,144,8856000.0
10024,10024,2021.0,2698.0,"Korea, South","Korea, South",1996-09-20,Midfield,Central Midfield,,177.0,CAA Base Ltd,RU1,4,4,1444.0,5,0,20,3321000.0
5320,5320,2019.0,1301.0,Cameroon,France,1995-04-07,Midfield,Defensive Midfield,Right,181.0,SPORTBACK,PO1,3,1,3589.0,12,1,57,664200.0
10964,10964,2019.0,6676.0,Cyprus,Cyprus,1993-12-16,Goalkeeper,,Right,190.0,,GR1,0,0,1470.0,1,0,16,442800.0
2352,2352,2021.0,1025.0,Poland,Poland,1991-05-05,Goalkeeper,,Right,187.0,GG11 s.r.l.,IT1,0,0,20010.0,12,0,222,4428000.0
3849,3849,2018.0,642.0,Netherlands,Netherlands,1992-01-06,Defender,Centre-Back,,194.0,Eijkelkamp Pro Soccer,NL1,4,1,6257.0,11,0,74,471090.0
12431,12431,2021.0,903.0,Scotland,Scotland,2001-04-20,Attack,Left Winger,Left,174.0,ICM Stellar Sports,SC1,1,0,,1,0,6,387450.0
12603,12603,2021.0,148.0,England,England,2000-11-23,Attack,Right Winger,Right,181.0,SMI Sports Management,GB1,0,0,71.0,0,0,3,3874500.0
6035,6035,2021.0,2424.0,Portugal,Portugal,1989-08-30,Defender,Left-Back,Left,180.0,Team of Future,PO1,5,7,14930.0,30,0,172,332100.0
13761,13761,2021.0,2715.0,,Algeria,2003-07-05,Attack,Second Striker,,,PROFI-MANAGEMENT,BE1,0,0,21.0,1,0,2,55350.0
12223,12223,2021.0,467.0,Spain,Spain,2000-03-30,Attack,Centre-Forward,Left,198.0,LEADERBROCK,NL1,0,0,70.0,0,0,3,276750.0
2821,2821,2020.0,130.0,France,France,1989-06-10,Defender,Right-Back,Right,173.0,M.A.R.A.T. Football Management,IT1,1,5,9908.0,25,1,139,332100.0
11852,11852,2021.0,244.0,France,Senegal,1999-01-24,Midfield,Defensive Midfield,Left,183.0,Pierre-Henri Bovis,FR1,2,1,4056.0,21,0,71,13284000.0
9421,9421,2019.0,1420.0,France,France,1996-05-02,Defender,Centre-Back,Right,185.0,TALENT LYFE,FR1,0,0,,1,0,1,1107000.0
12387,12387,2018.0,1010.0,Ghana,Ghana,1998-06-24,Midfield,Central Midfield,Right,183.0,Alpha sports Management Ltd.,GB1,0,0,180.0,2,0,2,221400.0
13749,13749,2021.0,6890.0,Turkey,Turkey,2005-07-08,Defender,Centre-Back,,180.0,,TR1,0,0,90.0,0,0,1,221400.0
3261,3261,2018.0,1420.0,Réunion,France,1992-03-07,Goalkeeper,,Right,180.0,Supernova Management,FR1,0,0,2250.0,3,0,25,442800.0
4459,4459,2021.0,27.0,Germany,Germany,1995-02-06,Midfield,Central Midfield,Right,189.0,Jörg Neubauer,L1,42,43,18226.0,23,0,254,77490000.0
11293,11293,2021.0,80.0,Germany,Germany,2000-02-01,Midfield,Central Midfield,Left,186.0,H.S.P. Sports-Management,L1,0,2,705.0,2,0,15,996300.0
4530,4530,2019.0,124.0,Scotland,Scotland,1990-03-17,Attack,Centre-Forward,Right,178.0,Arena Sports Management Ltd.,SC1,40,42,11677.0,26,0,171,387450.0
760,760,2019.0,618.0,France,Rwanda,1988-08-19,Attack,Left Winger,Right,184.0,,FR1,16,10,12034.0,7,0,193,664200.0
3118,3118,2021.0,3725.0,UdSSR,Russia,1989-03-24,Defender,Centre-Back,,190.0,Glory Group Ltd.,RU1,5,5,20329.0,61,1,231,1328400.0
3595,3595,2021.0,6418.0,Italy,Italy,1992-10-11,Midfield,Central Midfield,Right,184.0,MCI,GR1,1,0,479.0,1,0,7,332100.0
3514,3514,2019.0,273.0,Senegal,Senegal,1989-12-24,Attack,Centre-Forward,,184.0,Wonder Sports,FR1,28,5,6360.0,10,2,103,774900.0
3133,3133,2015.0,3558.0,Cameroon,Cameroon,1991-09-06,Attack,Centre-Forward,Right,189.0,,FR1,13,2,4195.0,4,0,55,276750.0
13215,13215,2021.0,7179.0,Venezuela,Venezuela,2002-10-10,Attack,Right Winger,Left,167.0,,PO1,0,0,14.0,1,0,3,387450.0
11029,11029,2021.0,354.0,Belgium,Belgium,1997-02-07,Attack,Centre-Forward,Right,185.0,Eleven Plus,BE1,15,10,2666.0,2,0,39,3321000.0
8526,8526,2021.0,6418.0,Sweden,Sierra Leone,1997-10-05,Attack,Left Winger,Right,177.0,BHM Sports Agency,GR1,2,0,1306.0,5,0,25,442800.0
10558,10558,2021.0,28095.0,Russia,Russia,1996-10-26,Defender,Centre-Back,Right,186.0,,RU1,0,1,5839.0,19,0,72,774900.0
5362,5362,2021.0,520.0,Slovenia,Bosnia-Herzegovina,1995-07-26,Attack,Right Winger,Left,168.0,Irfan Redžepagić,BE1,13,17,5754.0,9,0,79,2214000.0
7257,7257,2019.0,2861.0,Mali,Mali,1993-06-16,Attack,Centre-Forward,Right,183.0,MK Sport Consulting,BE1,10,4,3637.0,8,0,66,664200.0
5614,5614,2021.0,16.0,Syria,Germany,1996-01-01,Midfield,Central Midfield,Right,178.0,Lorimanagement,L1,13,31,13942.0,34,0,217,19926000.0
12936,12936,2018.0,18105.0,Brazil,Brazil,1992-02-22,Attack,Attacking Midfield,Right,172.0,L17 Soccer Brasil,UKR1,0,0,954.0,2,0,12,276750.0
2345,2345,2018.0,3349.0,Cape Verde,Cape Verde,1985-07-27,Midfield,Central Midfield,Both,177.0,D360,PO1,4,7,7876.0,32,1,114,55350.0
3227,3227,2021.0,3508.0,Belgium,Belgium,1992-11-07,Defender,Left-Back,Left,179.0,SportPlus Football Management,BE1,4,10,15216.0,32,0,178,774900.0
4555,4555,2019.0,3336.0,France,France,1994-02-27,Goalkeeper,,Right,,Oxysports TM,PO1,0,0,4718.0,7,0,53,194340.0
1598,1598,2017.0,6676.0,Jugoslawien (SFR),Serbia,1989-06-11,Attack,Right Winger,Both,181.0,Dribbling Agency,GR1,8,2,2086.0,11,0,40,276750.0
10981,10981,2019.0,403.0,Netherlands,Netherlands,1999-08-12,Defender,Centre-Back,Right,0.0,Juzzt Football,NL1,0,1,437.0,0,0,10,276750.0
2542,2542,2019.0,833.0,Cameroon,Cameroon,1988-10-15,Midfield,Central Midfield,Right,176.0,,TR1,1,3,1619.0,4,0,34,83640.0
8325,8325,2016.0,430.0,Croatia,Croatia,1995-09-16,Defender,Centre-Back,Right,189.0,Marjan Sisic,IT1,0,0,4.0,0,0,1,221400.0
1147,1147,2021.0,121.0,UdSSR,Russia,1989-03-18,Defender,Right-Back,Right,179.0,SA-Football Agency,RU1,3,12,14800.0,42,0,188,885600.0
2909,2909,2016.0,2700.0,UdSSR,Russia,1990-09-24,Midfield,Defensive Midfield,Right,190.0,Sport & Talent Agency,RU1,0,1,1496.0,7,0,24,276750.0
13517,13517,2021.0,720.0,Brazil,Brazil,1999-10-06,Attack,Centre-Forward,Both,183.0,Brazil Soccer,PO1,17,5,3014.0,6,0,59,24354000.0
4382,4382,2021.0,2727.0,Hungary,Hungary,1994-05-06,Defender,Right-Back,Right,188.0,CMGroup,BE1,0,0,588.0,0,0,12,442800.0
6478,6478,2015.0,43.0,Scotland,Scotland,1995-07-14,Attack,Centre-Forward,Right,178.0,QUANIC SPORTS,SC1,0,0,91.0,0,0,2,166050.0
6084,6084,2021.0,367.0,France,Portugal,1994-03-05,Defender,Left-Back,Left,170.0,Carrierefoot,ES1,3,5,6316.0,11,0,100,1992600.0
3803,3803,2019.0,317.0,Spain,Spain,1992-09-19,Midfield,Central Midfield,Right,173.0,Pedro Bravo - Consulting,NL1,5,6,3178.0,9,0,51,553500.0
12286,12286,2019.0,3999.0,Greece,Greece,1999-03-10,Goalkeeper,,Right,190.0,DONY Management AG,GR1,0,0,435.0,1,0,6,110700.0
5165,5165,2018.0,642.0,Netherlands,Netherlands,1989-12-05,Attack,Right Winger,Left,170.0,Grand Stand,NL1,12,10,5552.0,4,0,107,498150.0
4649,4649,2021.0,533.0,Germany,Nigeria,1995-04-19,Defender,Centre-Back,Right,192.0,Unique Sports Group,L1,5,6,7722.0,17,0,109,6642000.0
10388,10388,2021.0,800.0,Netherlands,Netherlands,1997-04-30,Attack,Centre-Forward,Both,191.0,ISM Int. Soccer Mgmt. GmbH,IT1,29,6,5483.0,4,0,105,3321000.0
4724,4724,2018.0,2503.0,Portugal,Portugal,1991-07-28,Attack,Centre-Forward,Right,185.0,Universal Sports Group,PO1,15,6,7120.0,10,0,113,553500.0
3784,3784,2021.0,276.0,Italy,Italy,1991-01-16,Goalkeeper,,Right,185.0,,IT1,0,0,116.0,0,0,2,55350.0
164,164,2020.0,29228.0,Argentina,Argentina,1984-09-25,Defender,Centre-Back,Right,185.0,Fiorio Management S.R.L.,BE1,6,4,16683.0,28,0,191,221400.0
4485,4485,2019.0,667.0,France,France,1987-04-06,Attack,Attacking Midfield,Right,179.0,,FR1,4,9,4894.0,6,0,103,276750.0
109,109,2021.0,3999.0,CSSR,Greece,1981-02-05,Defender,Centre-Back,Right,184.0,,GR1,0,1,5605.0,7,1,73,110700.0
1975,1975,2021.0,338.0,UdSSR,Ukraine,1990-04-19,Attack,Attacking Midfield,Right,186.0,,UKR1,43,21,11229.0,45,1,209,1992600.0
