,player_id,last_season,current_club_id,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,agent_name,domestic_competition_id,goals,assists,minutes_played,yellow_cards,red_cards,total_appearance,market_value_usd
9361,9361,2021.0,36.0,Turkey,Turkey,1999-12-08,Attack,Right Winger,Right,180.0,Ergezen Menajerlik & Danışmanl,TR1,0,0,914.0,3,0,23,996300.0
342,342,2017.0,5.0,Argentina,Italy,1986-02-15,Defender,Centre-Back,Right,190.0,TMP SOCCER srl ,IT1,4,1,,21,4,80,221400.0
5445,5445,2015.0,403.0,Netherlands,Angola,1993-04-02,Attack,Right Winger,Right,172.0,Status Pro Sport,NL1,2,1,1857.0,3,0,36,166050.0
12629,12629,2019.0,416.0,France,France,2000-07-19,Midfield,Central Midfield,Right,187.0,Sports Invest UK ltd,IT1,0,0,2.0,0,0,1,166050.0
10381,10381,2021.0,416.0,Italy,Italy,1999-06-06,Defender,Centre-Back,Left,,Gr Sports,IT1,0,2,2445.0,10,0,40,4428000.0
3112,3112,2019.0,172.0,Senegal,Senegal,1990-11-25,Midfield,Defensive Midfield,Left,186.0,Agence 442,BE1,2,3,8952.0,17,0,122,166050.0
4576,4576,2021.0,2381.0,Turkey,Turkey,1988-01-15,Defender,Centre-Back,Right,182.0,Asportsmanagement,TR1,5,3,23066.0,33,0,263,442800.0
7974,7974,2018.0,3709.0,Spain,Spain,1996-02-16,Attack,Left Winger,Both,178.0,Niagara Sports Company,ES1,1,0,120.0,1,0,2,2767500.0
1207,1207,2015.0,589.0,Brazil,Brazil,1988-10-22,Attack,Attacking Midfield,Both,174.0,Brazilsport,TR1,1,1,778.0,2,0,12,332100.0
11175,11175,2021.0,276.0,Croatia,Croatia,2000-01-01,Defender,Centre-Back,Right,188.0,PROSPORTM,IT1,1,0,1899.0,2,0,43,3321000.0
4857,4857,2021.0,43.0,Northern Ireland,Ireland,1995-07-09,Midfield,Central Midfield,Right,175.0,,SC1,2,2,610.0,0,0,17,442800.0
5823,5823,2014.0,2288.0,Wales,Wales,1995-03-30,Midfield,Central Midfield,Right,184.0,ICM Stellar Sports,GB1,0,0,59.0,0,0,1,221400.0
9879,9879,2021.0,281.0,Spain,Spain,1996-06-22,Midfield,Defensive Midfield,Right,191.0,Pablo Barquero,GB1,18,13,20338.0,44,0,272,88560000.0
8734,8734,2021.0,475.0,Nigeria,Nigeria,1995-12-20,Defender,Centre-Back,Right,193.0,,BE1,2,0,1678.0,3,1,24,442800.0
13047,13047,2019.0,543.0,England,England,2002-10-03,Defender,Right-Back,Right,168.0,Wasserman,GB1,1,0,270.0,0,0,3,664200.0
4009,4009,2019.0,903.0,England,England,1994-05-18,Defender,Centre-Back,,187.0,,SC1,4,1,1203.0,0,0,16,387450.0
9305,9305,2021.0,11282.0,Turkey,Turkey,1997-11-06,Defender,Centre-Back,Right,189.0,Cenk Melih Yazıcı,TR1,3,5,6667.0,19,0,98,4206600.0
8900,8900,2021.0,3524.0,France,France,1995-08-12,Attack,Centre-Forward,Right,187.0,TTMA,FR1,5,4,,6,0,36,1660500.0
331,331,2014.0,820.0,Germany,Turkey,1987-03-20,Midfield,Central Midfield,Both,172.0,Öner Karalar,TR1,0,1,443.0,2,0,7,110700.0
5389,5389,2021.0,969.0,Cameroon,Cameroon,1991-06-22,Defender,Left-Back,Left,176.0,Global Compensation,FR1,4,2,5391.0,14,0,75,1992600.0
10303,10303,2021.0,475.0,Japan,Japan,1997-06-26,Attack,Left Winger,Left,163.0,M&Y Management,BE1,0,2,1280.0,1,0,34,664200.0
5369,5369,2021.0,3060.0,Brazil,Brazil,1993-02-24,Attack,Left Winger,Right,180.0,Marcio Bittencourt Sports,GR1,7,3,4573.0,23,0,70,276750.0
13295,13295,2021.0,121.0,Russia,Russia,2002-02-01,Defender,Centre-Back,Right,194.0,,RU1,0,0,320.0,0,0,7,442800.0
